Prioridad,Localidad,Partido,Nombre,Tipo,Dirección,Instagram,Mail,WhatsApp/Tel,Nota,Estado (a completar)
3,Isidro Casanova,La Matanza,La Birra es Bella,Bar cultural / cervecería,República de Portugal 2620,@labirraesbellabar,—,+54 11 7635-0265,"Grande, muchas canillas, espacio al aire libre sobre la plaza; hasta las 03.",
3,Isidro Casanova,La Matanza,La Previa Resto Bar,Resto-bar con shows,Av. J. M. de Rosas 6655 (esq. Rep. de Portugal),@lapreviacasanova,—,+54 11 6486-2430,Escenario activo de la escena rockera; mesas + tarima. Netamente nocturno.,
3,Isidro Casanova,La Matanza,Patio Santiagueño (El Mito de I. Casanova),Peña / resto-bar con shows,Av. Cristianía 3049,@patiosantiague,—,—,Salón amplio con escenario; folklore/cumbia en vivo. Plano abierto con público.,
3,Isidro Casanova,La Matanza,Clapton Bar,Bar,— (altura sin confirmar),IG sin confirmar,—,—,"Lead: figura en RestaurantGuru, sin datos completos. Chequear en Maps.",
4,Morón,Morón,Prego Bistró & Bar,Resto-bar (italiana),9 de Julio 402,@prego.bistro,—,+54 11 3905-3015,"Salón amplio, luz cálida; abierto hasta 1-2 AM. Buen ambiente de mesas.",
4,Morón,Morón,The Laundry Garage,Resto-bar / burger & beer,Bartolomé Mitre 724,@laundrygarage_,—,+54 11 4489-0278,"Deco temática vibrante, música, clima nocturno. Muy fotogénico.",
4,Morón,Morón,Prinston Morón,Cervecería / pub,Bartolomé Mitre 998,@prinstonmoron,—,+54 11 6079-9694,Birra artesanal desde 17:30; salón con energía de bar de noche.,
4,Morón,Morón,El Desembarco (Morón),Cervecería / hamburguesería,Belgrano 410,@eldesembarcook (marca),—,011 3646-7089,Hasta 00:30-01:30; salón grande y concurrido. (IG del local sin confirmar aparte),
4,Morón,Morón,Sarria Cervecería,Cervecería artesanal,Mendoza 355,@sarriamoron,—,+54 11 2335-5715,Pionera de la birra artesanal en Morón; jue-sáb desde 19 h.,
4,Morón,Morón,FANO Beer & Burgers,Cervecería / resto-bar,Cnel. Machado 901,@fanobar,—,+54 11 3088-2099,"De café a bar nocturno; vie-sáb hasta 3 AM, birra tirada.",
4,Morón,Morón,Baum Morón,Cervecería artesanal,25 de Mayo 599,@baummoron,—,011 7500-6227,Salón amplio con onda de after; mesas y barra ideales para escenas.,
4,Morón,Morón,Blest Morón,Cervecería / pub,Ntra. Sra. del Buen Viaje 375,@blestmoron,—,+54 9 11 6812-5228,Happy hour y horario extendido; ambiente birrero clásico con mesas.,
4,Morón,Morón,Cervecería Hormiga Negra (Morón),Cervecería / pub,25 de Mayo 651,@hormiganegra.ar (marca),—,+54 11 3818-7364,Tres ambientes con música; hasta 1-2 AM. Mucho espacio para filmar.,
5,Castelar,Morón,Ribbon Bar,Cervecería / taberna,Av. Santa Rosa 1327,@ribbonbar,—,—,"'La taberna más famosa'; hasta las 02 (finde 04). Ambiente cerrado, mucha mesa.",
5,Castelar,Morón,La Casa Bar,Resto-bar / cervecería,Santa Rosa 1099 (lado Morón),@lacasabar_,—,—,"Restaurante + bar concurrido, salón amplio. Punto de encuentro nocturno.",
5,Castelar,Morón,RYU Castelar,Bar / cocktail bar,Santa Rosa 1001,@ryu.castelar,—,—,"Coctelería con música y fechas (DJ/shows). Estética oscura, muy filmable.",
5,Castelar,Morón,CHEKA Castelar,Cervecería / bar,Av. Santa Rosa 1152 (borde con Ituzaingó),@cheka_castelar,—,011 3138-1399,"Cerveza tirada, baile hasta la madrugada. Mucho volumen (53k IG).",
5,Castelar,Morón,Lobo Castelar,Resto-bar (cena show),— (dirección sin confirmar),@loboesta.castelar,—,11-2353-7070,Cena-show en vivo jue-sáb desde 18:30; escenario.,
5,Castelar,Morón,Piccolo Castelar,Bar / cervecería,Arias 2368 (centro — Morón puro),IG sin confirmar,—,11-3387-3167,En el centro de Castelar (no sobre Santa Rosa). Locación claramente en Morón.,
5,Castelar,Morón,Paul's Rooftop Bar,Rooftop / resto-bar,Santa Rosa ~1100 (domicilio formal en Ituzaingó),@paulsbuenosaires,—,—,Terraza en altura con luces de noche. Buen plano de rooftop.,
5,Castelar,Morón,The Tower Beer House,Cervecería temática,"Lavalleja 40, Ituzaingó (pegado a Castelar)",@thetower.beerhouse,thetowerbeer@gmail.com,+54 11 2174-4918,Réplica Torre Eiffel; ambiente nocturno fotogénico. Alternativa cercana.,
6,Ituzaingó,Ituzaingó,Nob3l,Bar / coctelería de autor,"Martín Fierro 3290, Parque Leloir",@nob3lbar,—,+54 11 5934-1321,Rooftop en 3º piso con vista + sala íntima ('el LAB'). Muy cinematográfico.,
6,Ituzaingó,Ituzaingó,Temple Parque Leloir,Resto-bar / boliche,"Martín Fierro 3063, Parque Leloir",@templeparqueleloir,—,—,Pista arriba los fines de semana + DJ. Espacio grande para plano de gente.,
6,Ituzaingó,Ituzaingó,Pompeya Leloir,Resto-bar / cervecería,"Martín Fierro 2997 (Complejo Solaria, loc. 10), Parque Leloir",@pompeyaleloir,—,—,Living + galería + patio cervecero al aire libre. Varios ambientes.,
6,Ituzaingó,Ituzaingó,Baum Parque Leloir,Cervecería artesanal,"Martín Fierro 3290, Parque Leloir",@baumleloir,—,+54 11 2366-2641,"Birra de tirador, clima distendido. Buena para barra y chopp.",
6,Ituzaingó,Ituzaingó,Red Devil Ituzaingó,Cervecería / resto-bar,General Mansilla 757,@reddevil.restobar,—,—,"Rústico + luces neón, 12 canillas; ciertas noches DJ. Estética fuerte.",
6,Ituzaingó,Ituzaingó,El Jardín Resto & Bar,Resto-bar,Juncal 121 (centro),@eljardinituzaingo,dejuanaeljardin@gmail.com,+54 11 3955-4187,Patio grande y deco de arte; hasta la madrugada. Luz cálida.,
6,Ituzaingó,Ituzaingó,La Pava,Resto-bar / parrilla,Santa Rosa 1250,@lapavaituzaingo,—,+54 11 4661-0002,"Salón amplio, hasta medianoche/01. Escenas de mesa y sobremesa.",
6,Ituzaingó,Ituzaingó,Azahares Restaurante & Bar,Resto-bar / parrilla,"Av. Presidente Perón 7609, Parque Leloir",IG sin confirmar (FB: /azaharesrestaurant),—,+54 11 7607-8040,Cenas show los fines de semana; escenario y mesas.,
